user,item,rating,timestamp
606,83,4.0,1373587200
1023,270,2.0,1339200000
195,6,3.0,1227657600
172,604,5.0,1400198400
441,64,5.0,1246147200
345,336,3.0,1368057600
1040,708,5.0,1402790400
962,351,5.0,1368662400
1101,431,4.0,1371340800
1057,213,4.0,1361318400
438,34,4.0,1222214400
919,57,5.0,1333670400
979,521,5.0,1404259200
216,585,5.0,1403136000
823,409,3.0,1365120000
832,404,5.0,1366588800
559,282,3.0,1345593600
65,245,4.0,1365292800
957,386,3.0,1369526400
125,698,5.0,1403481600
65,348,2.0,1363737600
356,321,4.0,1372723200
185,397,5.0,1367884800
820,263,4.0,1367712000
228,446,5.0,1399507200
642,432,5.0,1395014400
435,411,4.0,1372204800
991,287,2.0,1344556800
1070,663,4.0,1405382400
724,286,3.0,1397433600
1136,573,4.0,1395273600
585,610,5.0,1400025600
391,152,4.0,1326758400
250,714,5.0,1402444800
529,370,4.0,1363910400
838,350,5.0,1362873600
1038,350,4.0,1362009600
588,68,2.0,1359676800
21,379,3.0,1365379200
695,575,3.0,1397520000
13,513,5.0,1399680000
14,347,4.0,1361836800
473,288,5.0,1354492800
516,120,5.0,1276128000
466,172,5.0,1362528000
163,171,4.0,1311724800
697,312,4.0,1356739200
1287,621,5.0,1403136000
1140,639,5.0,1398556800
1070,509,5.0,1396742400
1319,651,5.0,1403568000
77,392,5.0,1364601600
27,82,5.0,1370995200
546,235,5.0,1335830400
1185,455,2.0,1388966400
553,567,3.0,1395014400
1184,300,4.0,1370649600
442,347,3.0,1364256000
1210,279,4.0,1399420800
200,567,5.0,1395100800
441,134,4.0,1323734400
755,121,4.0,1279152000
1205,662,4.0,1405036800
182,600,5.0,1389571200
210,393,3.0,1365120000
666,258,5.0,1354665600
141,372,4.0,1365984000
1210,715,5.0,1402876800
602,364,5.0,1371600000
762,619,4.0,1401840000
123,131,4.0,1375488000
198,371,5.0,1363910400
372,113,5.0,1345075200
521,425,5.0,1374710400
1245,584,5.0,1400284800
1328,686,5.0,1400284800
681,676,3.0,1403740800
573,634,3.0,1396915200
878,52,3.0,1346112000
821,458,3.0,1377648000
354,67,3.0,1236902400
1128,321,5.0,1372377600
468,594,2.0,1392854400
165,89,4.0,1362441600
1327,540,5.0,1404604800
78,352,5.0,1362441600
197,25,4.0,1363478400
812,400,5.0,1366156800
154,96,5.0,1279756800
183,373,3.0,1359244800
902,80,4.0,1344643200
50,195,4.0,1365120000
193,191,4.0,1368576000
647,406,4.0,1368316800
541,54,2.0,1242864000
98,25,4.0,1359072000
623,288,4.0,1355788800
984,565,3.0,1397088000
533,77,5.0,1247702400
781,595,4.0,1397174400
1175,196,4.0,1324512000
899,124,5.0,1384473600
1310,690,5.0,1402617600
156,68,4.0,1360454400
1138,519,4.0,1399852800
610,456,5.0,1394236800
216,707,5.0,1400716800
403,204,5.0,1341619200
531,322,4.0,1367452800
63,264,4.0,1345334400
237,711,5.0,1404086400
1279,521,4.0,1404518400
897,455,4.0,1388361600
333,655,5.0,1394668800
85,211,3.0,1363305600
521,269,4.0,1340150400
660,126,5.0,1322611200
385,106,5.0,1345248000
366,78,4.0,1246147200
247,710,5.0,1402531200
11,293,2.0,1351036800
205,248,5.0,1394409600
1106,394,3.0,1363564800
470,512,4.0,1393200000
50,72,5.0,1362268800
1109,404,5.0,1365206400
200,360,4.0,1370217600
8,348,4.0,1363392000
314,572,4.0,1393545600
877,479,5.0,1404777600
318,71,4.0,1371600000
317,401,4.0,1364428800
645,278,4.0,1344297600
852,194,5.0,1324944000
815,390,5.0,1365120000
924,340,4.0,1366243200
776,350,4.0,1363651200
501,274,4.0,1340236800
111,82,5.0,1369785600
251,709,4.0,1402790400
1001,627,4.0,1396483200
1220,652,5.0,1404604800
53,411,5.0,1368576000
375,93,5.0,1344470400
349,244,5.0,1391126400
150,381,4.0,1365984000
580,254,3.0,1349481600
17,1,4.0,1335225600
961,400,5.0,1365897600
63,322,5.0,1373155200
759,600,2.0,1394409600
50,353,4.0,1362700800
564,661,2.0,1404777600
937,620,4.0,1399939200
761,344,4.0,1362873600
501,138,5.0,1296086400
781,475,5.0,1400025600
1247,442,5.0,1402790400
1104,277,4.0,1343520000
1066,628,5.0,1394668800
440,39,4.0,1223856000
822,179,4.0,1375574400
993,364,5.0,1369267200
1157,382,5.0,1365465600
510,352,3.0,1362009600
832,279,4.0,1346284800
254,54,3.0,1237852800
697,255,5.0,1359072000
306,326,4.0,1401321600
403,130,5.0,1345161600
2,496,4.0,1403913600
1220,493,5.0,1401321600
157,83,4.0,1372118400
420,439,3.0,1385942400
559,610,3.0,1398643200
106,561,5.0,1401408000
620,622,4.0,1398643200
184,453,1.0,1397433600
1281,652,5.0,1403827200
440,53,2.0,1229990400
501,255,4.0,1361491200
665,561,4.0,1403136000
983,450,4.0,1385942400
875,191,5.0,1368403200
513,67,5.0,1242691200
1022,348,5.0,1362528000
1124,326,5.0,1404259200
717,237,5.0,1392076800
138,281,4.0,1343692800
598,341,5.0,1365984000
1322,721,5.0,1405814400
396,306,5.0,1348012800
569,125,5.0,1374710400
81,512,5.0,1391990400
271,418,4.0,1378944000
394,226,5.0,1345680000
1083,255,5.0,1359417600
802,52,5.0,1339632000
708,590,5.0,1393200000
1310,669,5.0,1404604800
976,589,3.0,1391126400
33,77,3.0,1243382400
72,7,4.0,1214870400
1294,460,5.0,1405382400
393,10,5.0,1344988800
643,400,4.0,1365292800
877,480,5.0,1404777600
179,131,3.0,1373846400
799,350,5.0,1362960000
546,19,3.0,1201737600
98,345,5.0,1361923200
428,134,3.0,1299196800
318,577,5.0,1397692800
714,194,4.0,1325462400
1163,533,4.0,1393804800
374,207,5.0,1347235200
1230,673,5.0,1405468800
139,377,4.0,1363132800
1297,730,5.0,1404777600
934,148,5.0,1331596800
1187,509,4.0,1397433600
202,393,4.0,1365724800
85,619,3.0,1402876800
86,42,5.0,1365033600
123,563,5.0,1397520000
1248,714,5.0,1404172800
1271,709,4.0,1402876800
82,279,4.0,1345766400
150,367,4.0,1362700800
33,364,3.0,1369267200
250,715,5.0,1402876800
1291,465,5.0,1405987200
1285,693,5.0,1402012800
668,68,5.0,1361750400
53,628,5.0,1395100800
1228,660,5.0,1401062400
494,59,5.0,1240444800
589,200,4.0,1364688000
107,529,5.0,1390176000
61,194,3.0,1335657600
448,26,3.0,1368403200
152,247,5.0,1365120000
736,341,5.0,1365379200
165,398,4.0,1366761600
902,101,4.0,1344643200
246,607,5.0,1399507200
142,609,4.0,1400112000
668,51,5.0,1231027200
867,618,4.0,1396742400
1030,96,4.0,1267056000
517,59,4.0,1240444800
446,618,2.0,1397001600
350,200,5.0,1362096000
116,348,5.0,1362700800
526,323,4.0,1380412800
420,423,4.0,1386633600
451,340,3.0,1358380800
443,624,5.0,1405641600
824,224,5.0,1342656000
1111,512,3.0,1393718400
420,485,4.0,1398384000
475,82,5.0,1367712000
197,536,2.0,1401321600
1160,288,4.0,1355443200
1337,714,4.0,1404000000
18,71,3.0,1366761600
140,365,4.0,1365033600
786,120,4.0,1277596800
1197,303,3.0,1359504000
